query_id,dataset_name,vpr_method,matcher_method,inliers_top1,is_top1_correct,query_path,top1_path
000,svox_train_night,cosplace,loftr,10,0,../data/svox/images/train/queries_night\@0619617.77@5735833.06@20141216_190142@.jpg,../data/svox/images/train/gallery\@0621569.72@5736117.79@201205@ljEbfUG7atz8H0TEi7vlZw@F@.jpg
001,svox_train_night,cosplace,loftr,13,0,../data/svox/images/train/queries_night\@0619619.96@5735828.22@20141216_190144@.jpg,../data/svox/images/train/gallery\@0619485.04@5735706.47@201205@Kx5DCAvYmT7JTIzl44-nbw@F@.jpg
002,svox_train_night,cosplace,loftr,17,0,../data/svox/images/train/queries_night\@0619620.40@5735837.32@20141216_190139@.jpg,../data/svox/images/train/gallery\@0621569.72@5736117.79@201205@ljEbfUG7atz8H0TEi7vlZw@F@.jpg
003,svox_train_night,cosplace,loftr,16,0,../data/svox/images/train/queries_night\@0619623.39@5735823.91@20141216_190146@.jpg,../data/svox/images/train/gallery\@0619485.04@5735706.47@201205@Kx5DCAvYmT7JTIzl44-nbw@F@.jpg
004,svox_train_night,cosplace,loftr,498,1,../data/svox/images/train/queries_night\@0619624.33@5735840.58@20141216_190137@.jpg,../data/svox/images/train/gallery\@0619629.93@5735844.66@201205@KPwqQc3GNug5sOJrcstQvg@F@.jpg
005,svox_train_night,cosplace,loftr,10,0,../data/svox/images/train/queries_night\@0619626.72@5735819.46@20141216_190147@.jpg,../data/svox/images/train/gallery\@0619492.46@5735713.31@201205@xvH7iT3EFQkYNWGmVQLDWA@F@.jpg
006,svox_train_night,cosplace,loftr,311,1,../data/svox/images/train/queries_night\@0619629.16@5735843.12@20141216_190135@.jpg,../data/svox/images/train/gallery\@0619634.50@5735848.19@201205@0I7ccgo_YxRZwlC_4zyccA@F@.jpg
007,svox_train_night,cosplace,loftr,10,0,../data/svox/images/train/queries_night\@0619630.53@5735814.98@20141216_190148@.jpg,../data/svox/images/train/gallery\@0619533.35@5735716.35@201205@6V05Xh73keJ8ikrSfdA6xA@B@.jpg
008,svox_train_night,cosplace,loftr,271,1,../data/svox/images/train/queries_night\@0619633.36@5735845.99@20141216_190133@.jpg,../data/svox/images/train/gallery\@0619634.50@5735848.19@201205@0I7ccgo_YxRZwlC_4zyccA@F@.jpg
009,svox_train_night,cosplace,loftr,7,0,../data/svox/images/train/queries_night\@0619633.86@5735810.80@20141216_190149@.jpg,../data/svox/images/train/gallery\@0623948.34@5736639.01@201207@nYBb-Sa-gFkUxH4u3DBPHw@B@.jpg
010,svox_train_night,cosplace,loftr,7,0,../data/svox/images/train/queries_night\@0619637.36@5735806.99@20141216_190150@.jpg,../data/svox/images/train/gallery\@0622725.42@5734984.11@201207@pNjLJnsMZenaPQx_J7SpOw@F@.jpg
011,svox_train_night,cosplace,loftr,177,1,../data/svox/images/train/queries_night\@0619637.56@5735849.04@20141216_190132@.jpg,../data/svox/images/train/gallery\@0619644.30@5735855.90@201205@iqM3veddSPnmPtB8q0-jHg@F@.jpg
012,svox_train_night,cosplace,loftr,6,0,../data/svox/images/train/queries_night\@0619640.92@5735803.18@20141216_190151@.jpg,../data/svox/images/train/gallery\@0623948.34@5736639.01@201207@nYBb-Sa-gFkUxH4u3DBPHw@B@.jpg
013,svox_train_night,cosplace,loftr,105,1,../data/svox/images/train/queries_night\@0619641.03@5735853.07@20141216_190131@.jpg,../data/svox/images/train/gallery\@0619654.03@5735862.04@201205@2g28nm7hISZsCt8NGUmZHQ@F@.jpg
014,svox_train_night,cosplace,loftr,9,0,../data/svox/images/train/queries_night\@0619644.69@5735799.30@20141216_190152@.jpg,../data/svox/images/train/gallery\@0619485.04@5735706.47@201205@Kx5DCAvYmT7JTIzl44-nbw@F@.jpg
015,svox_train_night,cosplace,loftr,120,1,../data/svox/images/train/queries_night\@0619645.46@5735856.49@20141216_190130@.jpg,../data/svox/images/train/gallery\@0619654.03@5735862.04@201205@2g28nm7hISZsCt8NGUmZHQ@F@.jpg
016,svox_train_night,cosplace,loftr,12,0,../data/svox/images/train/queries_night\@0619648.26@5735794.83@20141216_190153@.jpg,../data/svox/images/train/gallery\@0620319.48@5735601.77@201206@04O9ZeQLX6z9jBa-7O4DWw@F@.jpg
017,svox_train_night,cosplace,loftr,90,1,../data/svox/images/train/queries_night\@0619650.08@5735859.77@20141216_190129@.jpg,../data/svox/images/train/gallery\@0619662.23@5735868.03@201205@qvM6itklSlq23CtvfZzj3A@F@.jpg
018,svox_train_night,cosplace,loftr,18,0,../data/svox/images/train/queries_night\@0619651.75@5735789.97@20141216_190154@.jpg,../data/svox/images/train/gallery\@0620330.43@5735575.93@201209@2tbEgv-WGUAfDompN2eQIw@F@.jpg
019,svox_train_night,cosplace,loftr,63,1,../data/svox/images/train/queries_night\@0619655.73@5735862.38@20141216_190128@.jpg,../data/svox/images/train/gallery\@0619662.23@5735868.03@201205@qvM6itklSlq23CtvfZzj3A@F@.jpg
020,svox_train_night,cosplace,loftr,79,1,../data/svox/images/train/queries_night\@0619660.34@5735865.61@20141216_190127@.jpg,../data/svox/images/train/gallery\@0619662.23@5735868.03@201205@qvM6itklSlq23CtvfZzj3A@F@.jpg
021,svox_train_night,cosplace,loftr,11,0,../data/svox/images/train/queries_night\@0619666.01@5735868.16@20141216_190126@.jpg,../data/svox/images/train/gallery\@0619707.33@5736210.50@201205@hNfv_rvgQdRjU3ux6fFTpA@F@.jpg
022,svox_train_night,cosplace,loftr,9,0,../data/svox/images/train/queries_night\@0619670.44@5735871.59@20141216_190125@.jpg,../data/svox/images/train/gallery\@0623503.40@5736139.90@201207@NtMS3h_9lNisZz-qJ5lNtw@B@.jpg
023,svox_train_night,cosplace,loftr,13,0,../data/svox/images/train/queries_night\@0619674.99@5735874.94@20141216_190124@.jpg,../data/svox/images/train/gallery\@0619518.04@5736622.05@201205@5gdSlqDdY1JeBLZZXCbmHw@B@.jpg
024,svox_train_night,cosplace,loftr,7,0,../data/svox/images/train/queries_night\@0619675.15@5735760.60@20141216_190200@.jpg,../data/svox/images/train/gallery\@0620279.01@5735725.19@201209@brJwMaP2u3deZO6mvk7iSw@F@.jpg
025,svox_train_night,cosplace,loftr,9,0,../data/svox/images/train/queries_night\@0619678.86@5735755.34@20141216_190201@.jpg,../data/svox/images/train/gallery\@0622415.73@5734733.60@201205@4uqT5PN96R6_5rlwWjQErg@F@.jpg
026,svox_train_night,cosplace,loftr,12,0,../data/svox/images/train/queries_night\@0619679.48@5735878.11@20141216_190123@.jpg,../data/svox/images/train/gallery\@0619477.57@5735699.39@201205@ygdFD7AJ9Cu0UGm9B-9nIA@F@.jpg
027,svox_train_night,cosplace,loftr,8,0,../data/svox/images/train/queries_night\@0619683.25@5735751.34@20141216_190202@.jpg,../data/svox/images/train/gallery\@0622415.73@5734733.60@201205@4uqT5PN96R6_5rlwWjQErg@F@.jpg
028,svox_train_night,cosplace,loftr,9,0,../data/svox/images/train/queries_night\@0619683.90@5735881.38@20141216_190122@.jpg,../data/svox/images/train/gallery\@0619477.57@5735699.39@201205@ygdFD7AJ9Cu0UGm9B-9nIA@F@.jpg
029,svox_train_night,cosplace,loftr,282,1,../data/svox/images/train/queries_night\@0619686.31@5735747.30@20141216_190203@.jpg,../data/svox/images/train/gallery\@0619686.93@5735745.30@201205@2tK7-6kJg72WCaopHQM_wg@B@.jpg
030,svox_train_night,cosplace,loftr,13,0,../data/svox/images/train/queries_night\@0619688.34@5735884.59@20141216_190121@.jpg,../data/svox/images/train/gallery\@0619470.02@5735692.19@201205@frmeWDQ54jAjhJRRMnGceg@F@.jpg
031,svox_train_night,cosplace,loftr,12,0,../data/svox/images/train/queries_night\@0619689.72@5735742.87@20141216_190204@.jpg,../data/svox/images/train/gallery\@0619439.45@5736591.41@201205@TykqV3Pns7HTb_hP1CFzeQ@B@.jpg
032,svox_train_night,cosplace,loftr,10,0,../data/svox/images/train/queries_night\@0619692.50@5735738.64@20141216_190204@.jpg,../data/svox/images/train/gallery\@0619541.93@5736635.25@201205@JYsWxbc08_TAnVHue0kS0w@F@.jpg
033,svox_train_night,cosplace,loftr,12,0,../data/svox/images/train/queries_night\@0619692.81@5735887.85@20141216_190120@.jpg,../data/svox/images/train/gallery\@0619470.02@5735692.19@201205@frmeWDQ54jAjhJRRMnGceg@F@.jpg
034,svox_train_night,cosplace,loftr,17,0,../data/svox/images/train/queries_night\@0619695.73@5735734.57@20141216_190205@.jpg,../data/svox/images/train/gallery\@0620330.43@5735575.93@201209@2tbEgv-WGUAfDompN2eQIw@F@.jpg
035,svox_train_night,cosplace,loftr,7,0,../data/svox/images/train/queries_night\@0619697.22@5735891.09@20141216_190119@.jpg,../data/svox/images/train/gallery\@0623454.69@5736327.45@201207@wPFKahsu7CcOWuAPDcPMew@B@.jpg
036,svox_train_night,cosplace,loftr,7,0,../data/svox/images/train/queries_night\@0619699.00@5735730.58@20141216_190206@.jpg,../data/svox/images/train/gallery\@0619507.80@5736617.09@201205@E9SCle7XGrHSjXDOB71d3Q@B@.jpg
037,svox_train_night,cosplace,loftr,13,0,../data/svox/images/train/queries_night\@0619701.71@5735894.32@20141216_190118@.jpg,../data/svox/images/train/gallery\@0619470.02@5735692.19@201205@frmeWDQ54jAjhJRRMnGceg@F@.jpg
038,svox_train_night,cosplace,loftr,6,0,../data/svox/images/train/queries_night\@0619702.28@5735725.93@20141216_190207@.jpg,../data/svox/images/train/gallery\@0619729.25@5736559.65@201205@F7Ffh3C4jGUdWSeO5kRigw@B@.jpg
039,svox_train_night,cosplace,loftr,8,0,../data/svox/images/train/queries_night\@0619705.50@5735720.79@20141216_190208@.jpg,../data/svox/images/train/gallery\@0619739.10@5736562.20@201205@shL9AxE8GTFOHrYv-VbPJQ@B@.jpg
