query_id,dataset_name,vpr_method,matcher_method,inliers_top1,is_top1_correct,query_path,top1_path
000,svox_train_sun,cosplace,superpoint-lg,8,0,../data/svox/images/train/queries_sun\@0619618.74@5735835.71@20141216_093334@.jpg,../data/svox/images/train/gallery\@0621569.72@5736117.79@201205@ljEbfUG7atz8H0TEi7vlZw@F@.jpg
001,svox_train_sun,cosplace,superpoint-lg,7,0,../data/svox/images/train/queries_sun\@0619621.28@5735831.24@20141216_093337@.jpg,../data/svox/images/train/gallery\@0623954.07@5736686.58@201207@OCaOttHtNtPfwzB9-d4auw@F@.jpg
002,svox_train_sun,cosplace,superpoint-lg,203,1,../data/svox/images/train/queries_sun\@0619622.92@5735844.50@20141216_093327@.jpg,../data/svox/images/train/gallery\@0619629.93@5735844.66@201205@KPwqQc3GNug5sOJrcstQvg@F@.jpg
003,svox_train_sun,cosplace,superpoint-lg,6,0,../data/svox/images/train/queries_sun\@0619623.57@5735826.38@20141216_093338@.jpg,../data/svox/images/train/gallery\@0619928.28@5735588.07@201205@nrbnRnLve3v2_VM4bLEMWQ@B@.jpg
004,svox_train_sun,cosplace,superpoint-lg,94,1,../data/svox/images/train/queries_sun\@0619626.69@5735821.63@20141216_093339@.jpg,../data/svox/images/train/gallery\@0619623.75@5735819.71@201205@mDQm1wDcXO_tfdJ5K-WTGQ@B@.jpg
005,svox_train_sun,cosplace,superpoint-lg,8,0,../data/svox/images/train/queries_sun\@0619628.87@5735843.38@20141216_093325@.jpg,../data/svox/images/train/gallery\@0624219.01@5736076.26@201204@SJfT_2VXc_SmUXOuWbYZsA@B@.jpg
006,svox_train_sun,cosplace,superpoint-lg,78,1,../data/svox/images/train/queries_sun\@0619630.39@5735817.03@20141216_093341@.jpg,../data/svox/images/train/gallery\@0619623.75@5735819.71@201205@mDQm1wDcXO_tfdJ5K-WTGQ@B@.jpg
007,svox_train_sun,cosplace,superpoint-lg,90,1,../data/svox/images/train/queries_sun\@0619633.29@5735846.55@20141216_093324@.jpg,../data/svox/images/train/gallery\@0619634.50@5735848.19@201205@0I7ccgo_YxRZwlC_4zyccA@F@.jpg
008,svox_train_sun,cosplace,superpoint-lg,60,1,../data/svox/images/train/queries_sun\@0619634.07@5735812.69@20141216_093342@.jpg,../data/svox/images/train/gallery\@0619633.37@5735810.56@201205@1-t8KIjzUnrbUIf7awShMg@B@.jpg
009,svox_train_sun,cosplace,superpoint-lg,75,1,../data/svox/images/train/queries_sun\@0619637.81@5735849.78@20141216_093323@.jpg,../data/svox/images/train/gallery\@0619644.30@5735855.90@201205@iqM3veddSPnmPtB8q0-jHg@F@.jpg
