query_id,dataset_name,vpr_method,matcher_method,inliers_top1,is_top1_correct,query_path,top1_path
000,svox_train_night,mixvpr,superpoint-lg,7,0,../data/svox/images/train/queries_night\@0619617.77@5735833.06@20141216_190142@.jpg,../data/svox/images/train/gallery\@0619564.31@5735691.01@201205@WZwbSvW5vWjMDq9w1J3eLQ@B@.jpg
001,svox_train_night,mixvpr,superpoint-lg,5,0,../data/svox/images/train/queries_night\@0619619.96@5735828.22@20141216_190144@.jpg,../data/svox/images/train/gallery\@0621882.15@5735755.71@201205@HH2u3lGTOpgDRwAd0C5DDQ@F@.jpg
002,svox_train_night,mixvpr,superpoint-lg,101,1,../data/svox/images/train/queries_night\@0619620.40@5735837.32@20141216_190139@.jpg,../data/svox/images/train/gallery\@0619629.93@5735844.66@201205@KPwqQc3GNug5sOJrcstQvg@F@.jpg
003,svox_train_night,mixvpr,superpoint-lg,10,0,../data/svox/images/train/queries_night\@0619623.39@5735823.91@20141216_190146@.jpg,../data/svox/images/train/gallery\@0619573.78@5735873.68@201205@OGmaIZ6E7SKH5bqa5uLlNQ@B@.jpg
004,svox_train_night,mixvpr,superpoint-lg,143,1,../data/svox/images/train/queries_night\@0619624.33@5735840.58@20141216_190137@.jpg,../data/svox/images/train/gallery\@0619629.93@5735844.66@201205@KPwqQc3GNug5sOJrcstQvg@F@.jpg
005,svox_train_night,mixvpr,superpoint-lg,85,1,../data/svox/images/train/queries_night\@0619626.72@5735819.46@20141216_190147@.jpg,../data/svox/images/train/gallery\@0619623.75@5735819.71@201205@mDQm1wDcXO_tfdJ5K-WTGQ@B@.jpg
006,svox_train_night,mixvpr,superpoint-lg,135,1,../data/svox/images/train/queries_night\@0619629.16@5735843.12@20141216_190135@.jpg,../data/svox/images/train/gallery\@0619629.93@5735844.66@201205@KPwqQc3GNug5sOJrcstQvg@F@.jpg
007,svox_train_night,mixvpr,superpoint-lg,77,1,../data/svox/images/train/queries_night\@0619630.53@5735814.98@20141216_190148@.jpg,../data/svox/images/train/gallery\@0619633.37@5735810.56@201205@1-t8KIjzUnrbUIf7awShMg@B@.jpg
008,svox_train_night,mixvpr,superpoint-lg,93,1,../data/svox/images/train/queries_night\@0619633.36@5735845.99@20141216_190133@.jpg,../data/svox/images/train/gallery\@0619634.50@5735848.19@201205@0I7ccgo_YxRZwlC_4zyccA@F@.jpg
009,svox_train_night,mixvpr,superpoint-lg,81,1,../data/svox/images/train/queries_night\@0619633.86@5735810.80@20141216_190149@.jpg,../data/svox/images/train/gallery\@0619633.37@5735810.56@201205@1-t8KIjzUnrbUIf7awShMg@B@.jpg
