query_id,dataset_name,vpr_method,matcher_method,inliers_top1,is_top1_correct,query_path,top1_path
000,svox_train_sun,mixvpr,superpoint-lg,7,0,../data/svox/images/train/queries_sun\@0619618.74@5735835.71@20141216_093334@.jpg,../data/svox/images/train/gallery\@0623403.91@5735784.48@201207@aBY030YM6uzb5NaaNQWySQ@F@.jpg
001,svox_train_sun,mixvpr,superpoint-lg,11,0,../data/svox/images/train/queries_sun\@0619621.28@5735831.24@20141216_093337@.jpg,../data/svox/images/train/gallery\@0619495.40@5735581.19@201205@qf69wuktsgXnsxxovHBKbQ@F@.jpg
002,svox_train_sun,mixvpr,superpoint-lg,203,1,../data/svox/images/train/queries_sun\@0619622.92@5735844.50@20141216_093327@.jpg,../data/svox/images/train/gallery\@0619629.93@5735844.66@201205@KPwqQc3GNug5sOJrcstQvg@F@.jpg
003,svox_train_sun,mixvpr,superpoint-lg,9,0,../data/svox/images/train/queries_sun\@0619623.57@5735826.38@20141216_093338@.jpg,../data/svox/images/train/gallery\@0619382.11@5736264.76@201205@941DxMjXb4qR3Zrg7mxQlA@B@.jpg
004,svox_train_sun,mixvpr,superpoint-lg,7,0,../data/svox/images/train/queries_sun\@0619626.69@5735821.63@20141216_093339@.jpg,../data/svox/images/train/gallery\@0623623.73@5735561.34@201207@NTYHQ-EZkp7t-LkTiHkNZw@F@.jpg
005,svox_train_sun,mixvpr,superpoint-lg,131,1,../data/svox/images/train/queries_sun\@0619628.87@5735843.38@20141216_093325@.jpg,../data/svox/images/train/gallery\@0619629.93@5735844.66@201205@KPwqQc3GNug5sOJrcstQvg@F@.jpg
006,svox_train_sun,mixvpr,superpoint-lg,78,1,../data/svox/images/train/queries_sun\@0619630.39@5735817.03@20141216_093341@.jpg,../data/svox/images/train/gallery\@0619623.75@5735819.71@201205@mDQm1wDcXO_tfdJ5K-WTGQ@B@.jpg
007,svox_train_sun,mixvpr,superpoint-lg,90,1,../data/svox/images/train/queries_sun\@0619633.29@5735846.55@20141216_093324@.jpg,../data/svox/images/train/gallery\@0619634.50@5735848.19@201205@0I7ccgo_YxRZwlC_4zyccA@F@.jpg
008,svox_train_sun,mixvpr,superpoint-lg,5,0,../data/svox/images/train/queries_sun\@0619634.07@5735812.69@20141216_093342@.jpg,../data/svox/images/train/gallery\@0619405.60@5736022.03@201205@Y_CAlQr-37-y-RQe99Zlxw@F@.jpg
009,svox_train_sun,mixvpr,superpoint-lg,75,1,../data/svox/images/train/queries_sun\@0619637.81@5735849.78@20141216_093323@.jpg,../data/svox/images/train/gallery\@0619644.30@5735855.90@201205@iqM3veddSPnmPtB8q0-jHg@F@.jpg
010,svox_train_sun,mixvpr,superpoint-lg,12,0,../data/svox/images/train/queries_sun\@0619637.87@5735808.64@20141216_093343@.jpg,../data/svox/images/train/gallery\@0623390.58@5735839.08@201207@NC47anF37YfbO3xhEGc-OA@B@.jpg
011,svox_train_sun,mixvpr,superpoint-lg,6,0,../data/svox/images/train/queries_sun\@0619641.84@5735805.36@20141216_093344@.jpg,../data/svox/images/train/gallery\@0619536.89@5736672.60@201205@hndxwH9WxjFh42oWP4jXyw@F@.jpg
012,svox_train_sun,mixvpr,superpoint-lg,84,1,../data/svox/images/train/queries_sun\@0619642.57@5735853.33@20141216_093321@.jpg,../data/svox/images/train/gallery\@0619644.30@5735855.90@201205@iqM3veddSPnmPtB8q0-jHg@F@.jpg
013,svox_train_sun,mixvpr,superpoint-lg,5,0,../data/svox/images/train/queries_sun\@0619645.49@5735801.79@20141216_093345@.jpg,../data/svox/images/train/gallery\@0619424.39@5736662.17@201205@Q7dfFJutgO0yXA8RJ-kOnA@B@.jpg
014,svox_train_sun,mixvpr,superpoint-lg,69,1,../data/svox/images/train/queries_sun\@0619646.68@5735856.36@20141216_093320@.jpg,../data/svox/images/train/gallery\@0619654.03@5735862.04@201205@2g28nm7hISZsCt8NGUmZHQ@F@.jpg
015,svox_train_sun,mixvpr,superpoint-lg,7,0,../data/svox/images/train/queries_sun\@0619648.38@5735797.58@20141216_093347@.jpg,../data/svox/images/train/gallery\@0619421.28@5736721.61@201205@GtHu3GiYidKoZRS3QluAow@B@.jpg
016,svox_train_sun,mixvpr,superpoint-lg,80,1,../data/svox/images/train/queries_sun\@0619650.94@5735859.41@20141216_093319@.jpg,../data/svox/images/train/gallery\@0619654.03@5735862.04@201205@2g28nm7hISZsCt8NGUmZHQ@F@.jpg
017,svox_train_sun,mixvpr,superpoint-lg,39,1,../data/svox/images/train/queries_sun\@0619651.22@5735792.49@20141216_093348@.jpg,../data/svox/images/train/gallery\@0619648.74@5735794.61@201205@HUb5UBabMPrA_1pvKqFhhQ@B@.jpg
018,svox_train_sun,mixvpr,superpoint-lg,69,1,../data/svox/images/train/queries_sun\@0619655.29@5735862.68@20141216_093318@.jpg,../data/svox/images/train/gallery\@0619654.03@5735862.04@201205@2g28nm7hISZsCt8NGUmZHQ@F@.jpg
019,svox_train_sun,mixvpr,superpoint-lg,16,0,../data/svox/images/train/queries_sun\@0619656.07@5735790.03@20141216_093350@.jpg,../data/svox/images/train/gallery\@0619589.66@5736042.27@201205@NpYe5ilFy3MXybybyV1lFg@B@.jpg
020,svox_train_sun,mixvpr,superpoint-lg,75,1,../data/svox/images/train/queries_sun\@0619659.79@5735866.01@20141216_093317@.jpg,../data/svox/images/train/gallery\@0619662.23@5735868.03@201205@qvM6itklSlq23CtvfZzj3A@F@.jpg
021,svox_train_sun,mixvpr,superpoint-lg,8,0,../data/svox/images/train/queries_sun\@0619664.42@5735869.38@20141216_093316@.jpg,../data/svox/images/train/gallery\@0623939.98@5736007.09@201204@iLEp4a2UXHpJ206hPY19AA@B@.jpg
022,svox_train_sun,mixvpr,superpoint-lg,33,1,../data/svox/images/train/queries_sun\@0619668.96@5735872.81@20141216_093315@.jpg,../data/svox/images/train/gallery\@0619683.33@5735883.42@201205@RKWFWGOWDSIeDp6RpML5Bw@F@.jpg
023,svox_train_sun,mixvpr,superpoint-lg,42,1,../data/svox/images/train/queries_sun\@0619673.48@5735876.10@20141216_093314@.jpg,../data/svox/images/train/gallery\@0619683.33@5735883.42@201205@RKWFWGOWDSIeDp6RpML5Bw@F@.jpg
024,svox_train_sun,mixvpr,superpoint-lg,9,0,../data/svox/images/train/queries_sun\@0619675.74@5735763.52@20141216_093356@.jpg,../data/svox/images/train/gallery\@0620079.61@5736606.31@201205@iwWcQ1WsCNz0iEmDAlN0eA@B@.jpg
025,svox_train_sun,mixvpr,superpoint-lg,55,1,../data/svox/images/train/queries_sun\@0619678.38@5735878.10@20141216_093313@.jpg,../data/svox/images/train/gallery\@0619683.33@5735883.42@201205@RKWFWGOWDSIeDp6RpML5Bw@F@.jpg
026,svox_train_sun,mixvpr,superpoint-lg,107,1,../data/svox/images/train/queries_sun\@0619679.42@5735758.72@20141216_093357@.jpg,../data/svox/images/train/gallery\@0619678.51@5735756.37@201205@mF2RPOJR5ASs8MEhBLIgTw@B@.jpg
027,svox_train_sun,mixvpr,superpoint-lg,83,1,../data/svox/images/train/queries_sun\@0619681.48@5735753.86@20141216_093358@.jpg,../data/svox/images/train/gallery\@0619678.51@5735756.37@201205@mF2RPOJR5ASs8MEhBLIgTw@B@.jpg
028,svox_train_sun,mixvpr,superpoint-lg,87,1,../data/svox/images/train/queries_sun\@0619682.51@5735881.09@20141216_093312@.jpg,../data/svox/images/train/gallery\@0619683.33@5735883.42@201205@RKWFWGOWDSIeDp6RpML5Bw@F@.jpg
029,svox_train_sun,mixvpr,superpoint-lg,71,1,../data/svox/images/train/queries_sun\@0619683.78@5735749.27@20141216_093359@.jpg,../data/svox/images/train/gallery\@0619678.51@5735756.37@201205@mF2RPOJR5ASs8MEhBLIgTw@B@.jpg
030,svox_train_sun,mixvpr,superpoint-lg,50,0,../data/svox/images/train/queries_sun\@0619686.83@5735884.13@20141216_093311@.jpg,../data/svox/images/train/gallery\@0619743.74@5735927.82@201205@o5_o7_f-QzK-3nQ572giEw@F@.jpg
031,svox_train_sun,mixvpr,superpoint-lg,11,0,../data/svox/images/train/queries_sun\@0619687.72@5735744.63@20141216_093400@.jpg,../data/svox/images/train/gallery\@0623990.09@5735203.44@201204@NpBnRK6ciKVeI_CtHLM_dg@F@.jpg
032,svox_train_sun,mixvpr,superpoint-lg,42,0,../data/svox/images/train/queries_sun\@0619691.28@5735887.59@20141216_093309@.jpg,../data/svox/images/train/gallery\@0619752.30@5735934.12@201205@TzO4C1LkA98_sx4l80gHYQ@F@.jpg
